Assignee,Summary,Test Plan,Verification,QE Assignee,Parent Id,Issue ID,Labels,Issue Type,Priority
sradharapu,TC_01_Provision : with 6416H SPR processor and CentOs9,"Verify that CentOS 9 Provisioning process can be completed without errors with below configuration

* *SERVER*: SPR 6461H
* *MOTHERBOARD*: ANY
* *RAM*: 2048 GB
* *OS*: CentOs 9
* *DRIVE*: 1 Nos.
* *NETWORK INTERFACE*:  Public and Private
* *PORT SPEED*: 25 GHZ [~E810]
* *DRIVE CONTROLLER*: Mirrorred M2 NVMe
* *ADD-ON*: SGX","* Login to server and check for all the configurations are avaliable as expected

* Validate Intel Speed Functionality ",sradharapu,QEPVER-239,QEPVER-244,IQE-Project-Testing,Test Case,Major
dtogloor,TC_02_Provision : with 6416H SPR processor and Redhat 8.x-64,"Verify that Redhat 8.x-64 Provisioning process can be completed without errors with below configuration

* *SERVER*: SPR 6461H
* *MOTHERBOARD*: ANY
* *RAM*: 512 GB
* *OS*: Redhat 8.x-64
* *DRIVE*: 1 Nos.
* *NETWORK INTERFACE*:  Public and Private
* *PORT SPEED*: 1 GHZ[~E710]
* *DRIVE CONTROLLER*: Mirrorred M2 NVMe
* *ADD-ON*: SGX","* Login to server and check for all the configurations are avaliable as expected

* Validate Intel Speed Functionality ",dtogloor,QEPVER-239,QEPVER-244,IQE-Project-Testing,Test Case,Major
sradharapu,TC_03_Provision : with 6416H SPR processor and Redhat 9.x-64,"Verify that Redhat 9.x-64 Provisioning process can be completed without errors with below configuration

* *SERVER*: SPR 6461H
* *MOTHERBOARD*: ANY
* *RAM*: 1024 GB
* *OS*: Redhat 9.x-64
* *DRIVE*: 1 Nos.
* *NETWORK INTERFACE*:  Public and Private
* *PORT SPEED*: 25 GHz [~E810]
* *DRIVE CONTROLLER*: Mirrorred M2 NVMe
* *ADD-ON*: SGX","* Login to server and check for all the configurations are avaliable as expected

* Validate Intel Speed Functionality ",sradharapu,QEPVER-239,QEPVER-244,IQE-Project-Testing,Test Case,Major
dtogloor,TC_04_Provision : with 6416H SPR processor and Rocky Linux 8.x-64,"Verify that Rocky Linux 8.x-64 Provisioning process can be completed without errors with below configuration

* *SERVER*: SPR 6461H
* *MOTHERBOARD*: ANY
* *RAM*: 256GB
* *OS*: Rocky Linux 8.x-64
* *DRIVE*: 1 Nos.
* *NETWORK INTERFACE*:  Public and Private
* *PORT SPEED*: 1 Ghz [~E710]
* *DRIVE CONTROLLER*: Mirrorred M2 NVMe
* *ADD-ON*: SGX","* Login to server and check for all the configurations are avaliable as expected

* Validate Intel Speed Functionality ",dtogloor,QEPVER-239,QEPVER-244,IQE-Project-Testing,Test Case,Major
sradharapu,TC_05_Provision : with 6416H SPR processor and Rocky Linux 9.x-64,"Verify that Rocky Linux 9.x-64 Provisioning process can be completed without errors with below configuration

* *SERVER*: SPR 6461H
* *MOTHERBOARD*: ANY
* *RAM*: 2048 GB
* *OS*: Rocky Linux 9.x-64
* *DRIVE*: 1 Nos.
* *NETWORK INTERFACE*:  Public and Private
* *PORT SPEED*: 25 GHz [~E810]
* *DRIVE CONTROLLER*: Mirrorred M2 NVMe
* *ADD-ON*: SGX","* Login to server and check for all the configurations are avaliable as expected

* Validate Intel Speed Functionality ",sradharapu,QEPVER-239,QEPVER-244,IQE-Project-Testing,Test Case,Major
dtogloor,TC_06_Provision : with 6416H SPR processor and Ubuntu 22.04-64,"Verify that Ubuntu 22.04-64 Provisioning process can be completed without errors with below configuration

* *SERVER*: SPR 6461H
* *MOTHERBOARD*: ANY
* *RAM*: 256 GB
* *OS*: Ubuntu 22.04-64
* *DRIVE*: 36 Nos.
* *NETWORK INTERFACE*:  Public and Private
* *PORT SPEED*: 1 Ghz [~E710]
* *DRIVE CONTROLLER*: Mirrorred M2 NVMe
* *ADD-ON*: SGX","* Login to server and check for all the configurations are avaliable as expected

* Validate Intel Speed Functionality ",dtogloor,QEPVER-239,QEPVER-244,IQE-Project-Testing,Test Case,Major
sradharapu,TC_07_Provision : with 6416H SPR processor and Ubuntu 22.04-64,"Verify that Ubuntu 22.04-64 Provisioning process can be completed without errors with below configuration

* *SERVER*: SPR 6461H
* *MOTHERBOARD*: ANY
* *RAM*: 2048 GB
* *OS*: Ubuntu 22.04-64
* *DRIVE*: 1 Nos.
* *NETWORK INTERFACE*:  Public and Private
* *PORT SPEED*: 25 Ghz [~E810]
* *DRIVE CONTROLLER*: Mirrorred M2 NVMe
* *ADD-ON*: SGX","* Login to server and check for all the configurations are avaliable as expected

* Validate Intel Speed Functionality ",sradharapu,QEPVER-239,QEPVER-244,IQE-Project-Testing,Test Case,Major
dtogloor,TC_08_Provision : with 6416H SPR processor and Microsoft Windows 2019 FULL STD 64 bit 2019 FULL STD x64,"Verify that Microsoft Windows 2019 FULL STD 64 bit 2019 FULL STD x64 Provisioning process can be completed without errors with below configuration

* *SERVER*: SPR 6461H
* *MOTHERBOARD*: ANY
* *RAM*: 2048 GB
* *OS*: Microsoft Windows 2019 FULL STD 64 bit 2019 FULL STD x64
* *DRIVE*: 1 Nos.
* *NETWORK INTERFACE*:  Public and Private
* *PORT SPEED*: 1 Ghz [~E710]
* *DRIVE CONTROLLER*: Mirrorred M2 NVMe
* *ADD-ON*: SGX","* Login to server and check for all the configurations are avaliable as expected

* Validate Intel Speed Functionality ",dtogloor,QEPVER-239,QEPVER-244,IQE-Project-Testing,Test Case,Major
sradharapu,TC_09_Provision : with 6416H SPR processor and Microsoft Windows 2022 FULL STD 64 bit 2022 FULL STD x64,"Verify that Microsoft Windows 2022 FULL STD 64 bit 2022 FULL STD x64 Provisioning process can be completed without errors with below configuration

* *SERVER*: SPR 6461H
* *MOTHERBOARD*: ANY
* *RAM*: 256 GB
* *OS*: Microsoft Windows 2022 FULL STD 64 bit 2022 FULL STD x64
* *DRIVE*: 1 Nos.
* *NETWORK INTERFACE*:  Public and Private
* *PORT SPEED*: 25 Ghz [~E810]
* *DRIVE CONTROLLER*: Mirrorred M2 NVMe
* *ADD-ON*: SGX","* Login to server and check for all the configurations are avaliable as expected

* Validate Intel Speed Functionality ",sradharapu,QEPVER-239,QEPVER-244,IQE-Project-Testing,Test Case,Major
dtogloor,TC_10_Provision : with 6416H SPR processor and VMware ESXi 7.0u3i,"Verify that VMware ESXi 7.0u3i Provisioning process can be completed without errors with below configuration

* *SERVER*: SPR 6461H
* *MOTHERBOARD*: ANY
* *RAM*: 256 GB
* *OS*: VMware ESXi 7.0u3i
* *DRIVE*: 1 Nos.
* *NETWORK INTERFACE*:  Public and Private
* *PORT SPEED*: 1 Ghz [~E710]
* *DRIVE CONTROLLER*: Mirrorred M2 NVMe
* *ADD-ON*: SGX","* Login to server and check for all the configurations are avaliable as expected

* Validate Intel Speed Functionality ",dtogloor,QEPVER-239,QEPVER-244,IQE-Project-Testing,Test Case,Major
